date,modal_price
2002-03-13,200.0
2002-03-14,200.0
2002-03-15,200.0
2002-03-16,200.0
2002-03-17,200.0
2002-03-18,200.0
2002-03-19,200.0
2002-03-20,200.0
2002-03-21,200.0
2002-03-22,200.0
2002-03-23,198.34446974415812
2002-03-24,194.4772245119086
2002-03-25,188.47425282733218
2002-03-26,180.44628082453386
2002-03-27,170.56118360823146
2002-03-28,159.0863178230253
2002-03-29,146.47502733652252
2002-03-30,133.5624192533357
2002-03-31,122.07438153076968
2002-04-01,116.2471843831512
2002-04-02,130.0
2002-04-03,170.0
2002-04-04,125.0
2002-04-05,130.0
2002-04-06,140.0
2002-04-07,150.0
2002-04-08,125.0
2002-04-09,150.0
2002-04-10,155.0
2002-04-11,160.0
2002-04-12,180.0
2002-04-13,160.0
2002-04-14,175.0
2002-04-15,250.0
2002-04-16,250.0
2002-04-17,200.0
2002-04-18,165.0
2002-04-19,190.0
2002-04-20,175.0
2002-04-21,262.5
2002-04-22,350.0
2002-04-23,180.0
2002-04-24,92.34263230810045
2002-04-25,79.48945979535898
2002-04-26,125.0
2002-04-27,225.0
2002-04-28,278.1249999765625
2002-04-29,300.0
2002-04-30,300.0
2002-05-01,275.0
2002-05-02,250.0
2002-05-03,350.0
2002-05-04,120.0
2002-05-05,160.0
2002-05-06,200.0
2002-05-07,180.0
2002-05-08,150.0
2002-05-09,130.0
2002-05-10,180.0
2002-05-11,202.72727270890724
2002-05-12,217.03703703017834
2002-05-13,230.0
2002-05-14,242.49999999414064
2002-05-15,250.0
2002-05-16,200.0
2002-05-17,280.0
2002-05-18,250.0
2002-05-19,287.5
2002-05-20,325.0
2002-05-21,300.0
2002-05-22,250.0
2002-05-23,300.0
2002-05-24,300.0
2002-05-25,250.0
2002-05-26,250.0
2002-05-27,300.0
2002-05-28,300.0
2002-05-29,250.0
2002-05-30,250.0
2002-05-31,300.0
2002-06-01,250.0
2002-06-02,250.0
2002-06-03,250.0
2002-06-04,300.0
2002-06-05,300.0
2002-06-06,300.0
2002-06-07,320.0
2002-06-08,250.0
2002-06-09,250.0
2002-06-10,250.0
2002-06-11,200.0
2002-06-12,225.0
2002-06-13,200.0
2002-06-14,200.0
2002-06-15,100.0
2002-06-16,200.0
2002-06-17,200.0
2002-06-18,200.0
2002-06-19,200.0
2002-06-20,200.0
2002-06-21,200.0
2002-06-22,200.0
2002-06-23,215.0
2002-06-24,230.0
2002-06-25,180.0
2002-06-26,230.0
2002-06-27,200.0
2002-06-28,230.0
2002-06-29,200.0
2002-06-30,200.0
2002-07-01,225.0
2002-07-02,200.0
2002-07-03,180.0
2002-07-04,180.0
2002-07-05,150.0
2002-07-06,150.0
2002-07-07,150.0
2002-07-08,150.0
2002-07-09,180.0
2002-07-10,175.0
2002-07-11,180.0
2002-07-12,150.0
2002-07-13,200.0
2002-07-14,200.0
2002-07-15,200.0
2002-07-16,200.0
2002-07-17,208.33333330833332
2002-07-18,225.0
2002-07-19,250.0
2002-07-20,250.0
2002-07-21,250.0
2002-07-22,250.0
2002-07-23,300.0
2002-07-24,300.0
2002-07-25,300.0
2002-07-26,250.0
2002-07-27,300.0
2002-07-28,300.0
2002-07-29,300.0
2002-07-30,300.0
2002-07-31,300.0
2002-08-01,300.0
2002-08-02,300.0
2002-08-03,275.0
2002-08-04,250.0
2002-08-05,300.0
2002-08-06,279.9999982638895
2002-08-07,250.0
2002-08-08,223.04347852670128
2002-08-09,200.0
2002-08-10,180.0
2002-08-11,215.0
2002-08-12,250.0
2002-08-13,250.0
2002-08-14,250.0
2002-08-15,175.0
2002-08-16,190.0
2002-08-17,200.0
2002-08-18,180.0
2002-08-19,180.0
2002-08-20,175.0
2002-08-21,130.0
2002-08-22,130.0
2002-08-23,220.0
2002-08-24,220.0
2002-08-25,250.0
2002-08-26,230.0
2002-08-27,230.0
2002-08-28,230.0
2002-08-29,250.0
2002-08-30,220.0
2002-08-31,250.0
2002-09-01,270.0
2002-09-02,250.0
2002-09-03,250.0
2002-09-04,230.0
2002-09-05,225.0
2002-09-06,220.0
2002-09-07,225.0
2002-09-08,200.0
2002-09-09,250.0
2002-09-10,230.0
2002-09-11,200.0
