date,modal_price
2002-03-13,180.0
2002-03-14,175.0
2002-03-15,200.0
2002-03-16,212.07482991156462
2002-03-17,211.9047618797619
2002-03-18,203.57142854920636
2002-03-19,189.52380950780952
2002-03-20,171.32034631208185
2002-03-21,150.0
2002-03-22,125.0
2002-03-23,115.70953434487048
2002-03-24,113.34142954644092
2002-03-25,112.24242423086869
2002-03-26,111.59785628385008
2002-03-27,111.16742968655397
2002-03-28,110.8548790615115
2002-03-29,110.61411991954093
2002-03-30,110.42032085354218
2002-03-31,110.25891829564318
2002-04-01,110.12080653515017
2002-04-02,110.0
2002-04-03,110.0
2002-04-04,125.0
2002-04-05,125.0
2002-04-06,125.0
2002-04-07,125.0
2002-04-08,125.0
2002-04-09,125.0
2002-04-10,125.0
2002-04-11,125.0
2002-04-12,130.0
2002-04-13,125.0
2002-04-14,120.0
2002-04-15,125.0
2002-04-16,130.0
2002-04-17,130.0
2002-04-18,130.0
2002-04-19,130.0
2002-04-20,150.0
2002-04-21,190.0
2002-04-22,230.0
2002-04-23,130.0
2002-04-24,80.93896711226608
2002-04-25,77.82795696920152
2002-04-26,110.0
2002-04-27,175.0
2002-04-28,223.0769230525148
2002-04-29,250.0
2002-04-30,250.0
2002-05-01,250.0
2002-05-02,250.0
2002-05-03,280.0
2002-05-04,280.0
2002-05-05,215.0
2002-05-06,150.0
2002-05-07,180.0
2002-05-08,150.0
2002-05-09,141.33190350295482
2002-05-10,152.0721432907015
2002-05-11,167.57062235015496
2002-05-12,176.5079944630045
2002-05-13,170.0
2002-05-14,145.0
2002-05-15,120.0
2002-05-16,113.85714283804082
2002-05-17,130.0
2002-05-18,200.0
2002-05-19,206.19999997756
2002-05-20,175.0
2002-05-21,120.0
2002-05-22,125.0
2002-05-23,120.0
2002-05-24,100.0
2002-05-25,125.0
2002-05-26,120.0
2002-05-27,200.0
2002-05-28,130.0
2002-05-29,130.0
2002-05-30,110.0
2002-05-31,130.0
2002-06-01,125.0
2002-06-02,125.0
2002-06-03,130.0
2002-06-04,110.0
2002-06-05,100.0
2002-06-06,100.0
2002-06-07,130.0
2002-06-08,130.0
2002-06-09,125.0
2002-06-10,125.0
2002-06-11,80.0
2002-06-12,150.0
2002-06-13,100.0
2002-06-14,100.0
2002-06-15,100.0
2002-06-16,100.0
2002-06-17,100.0
2002-06-18,100.0
2002-06-19,100.0
2002-06-20,160.0
2002-06-21,100.0
2002-06-22,150.0
2002-06-23,115.0
2002-06-24,80.0
2002-06-25,100.0
2002-06-26,100.0
2002-06-27,170.0
2002-06-28,80.0
2002-06-29,125.0
2002-06-30,130.0
2002-07-01,125.0
2002-07-02,100.0
2002-07-03,80.0
2002-07-04,80.0
2002-07-05,80.0
2002-07-06,100.0
2002-07-07,100.0
2002-07-08,100.0
2002-07-09,110.0
2002-07-10,100.0
2002-07-11,130.0
2002-07-12,120.0
2002-07-13,250.0
2002-07-14,150.0
2002-07-15,150.0
2002-07-16,160.0
2002-07-17,155.0
2002-07-18,150.0
2002-07-19,180.0
2002-07-20,180.0
2002-07-21,175.0
2002-07-22,150.0
2002-07-23,150.0
2002-07-24,170.0
2002-07-25,175.0
2002-07-26,180.0
2002-07-27,150.0
2002-07-28,200.0
2002-07-29,200.0
2002-07-30,200.0
2002-07-31,200.0
2002-08-01,200.0
2002-08-02,190.0
2002-08-03,180.0
2002-08-04,150.0
2002-08-05,180.0
2002-08-06,170.45454543966943
2002-08-07,150.0
2002-08-08,125.0
2002-08-09,130.0
2002-08-10,130.0
2002-08-11,140.0
2002-08-12,150.0
2002-08-13,100.0
2002-08-14,100.0
2002-08-15,125.0
2002-08-16,125.0
2002-08-17,150.0
2002-08-18,130.0
2002-08-19,130.0
2002-08-20,125.0
2002-08-21,120.0
2002-08-22,120.0
2002-08-23,200.0
2002-08-24,200.0
2002-08-25,250.0
2002-08-26,120.0
2002-08-27,170.0
2002-08-28,230.0
2002-08-29,175.0
2002-08-30,180.0
2002-08-31,150.0
2002-09-01,200.0
2002-09-02,150.0
2002-09-03,130.0
2002-09-04,200.0
2002-09-05,100.0
2002-09-06,200.0
2002-09-07,125.0
2002-09-08,220.0
2002-09-09,125.0
2002-09-10,230.0
2002-09-11,230.0
2002-09-12,177.5
2002-09-13,125.0
2002-09-14,200.0
2002-09-15,170.0
2002-09-16,180.0
2002-09-17,125.0
2002-09-18,200.0
2002-09-19,180.0
2002-09-20,230.0
2002-09-21,200.0
2002-09-22,200.0
2002-09-23,175.0
2002-09-24,130.0
2002-09-25,130.0
2002-09-26,180.0
2002-09-27,130.0
2002-09-28,130.0
2002-09-29,130.0
2002-09-30,130.0
2002-10-01,130.0
2002-10-02,120.0
2002-10-03,130.0
2002-10-04,130.0
2002-10-05,130.0
2002-10-06,125.0
2002-10-07,121.41304347410208
2002-10-08,118.6538461408284
2002-10-09,125.0
2002-10-10,180.0
2002-10-11,125.0
2002-10-12,112.59398494001923
2002-10-13,125.0
2002-10-14,162.5
2002-10-15,200.0
2002-10-16,150.0
2002-10-17,180.0
2002-10-18,165.0
2002-10-19,150.0
2002-10-20,180.0
2002-10-21,150.0
2002-10-22,175.0
2002-10-23,170.0
2002-10-24,125.0
2002-10-25,150.0
2002-10-26,150.0
2002-10-27,150.0
2002-10-28,150.0
2002-10-29,150.0
2002-10-30,120.0
2002-10-31,130.0
2002-11-01,120.0
2002-11-02,150.0
2002-11-03,150.0
2002-11-04,125.0
2002-11-05,180.0
2002-11-06,180.0
2002-11-07,180.0
2002-11-08,150.0
2002-11-09,129.899999979
2002-11-10,119.24999997539062
2002-11-11,116.38235292482699
2002-11-12,120.0
2002-11-13,130.0
2002-11-14,180.0
2002-11-15,130.0
2002-11-16,150.0
2002-11-17,130.0
2002-11-18,125.0
2002-11-19,130.0
2002-11-20,125.0
2002-11-21,150.0
2002-11-22,125.0
2002-11-23,130.0
2002-11-24,180.0
2002-11-25,180.0
2002-11-26,125.0
2002-11-27,250.0
2002-11-28,125.0
2002-11-29,125.0
2002-11-30,125.0
2002-12-01,190.0
2002-12-02,150.0
2002-12-03,225.0
2002-12-04,180.0
2002-12-05,120.0
2002-12-06,130.0
2002-12-07,150.59523646541854
2002-12-08,180.23256090379397
2002-12-09,200.0
2002-12-10,185.0
2002-12-11,170.0
2002-12-12,200.0
2002-12-13,200.0
2002-12-14,187.18749793836878
2002-12-15,162.5
2002-12-16,137.0703151092519
2002-12-17,125.0
2002-12-18,130.0
2002-12-19,125.0
2002-12-20,130.0
2002-12-21,130.0
2002-12-22,130.0
2002-12-23,150.0
2002-12-24,130.0
2002-12-25,120.0
2002-12-26,120.0
2002-12-27,120.0
2002-12-28,130.0
2002-12-29,130.0
2002-12-30,130.0
2002-12-31,130.0
2003-01-01,120.0
2003-01-02,150.0
2003-01-03,120.0
2003-01-04,180.0
2003-01-05,130.0
2003-01-06,130.0
2003-01-07,125.0
2003-01-08,120.0
2003-01-09,125.0
2003-01-10,120.0
2003-01-11,125.0
2003-01-12,120.0
2003-01-13,130.0
2003-01-14,120.0
2003-01-15,120.0
2003-01-16,120.0
2003-01-17,125.0
2003-01-18,120.0
2003-01-19,120.0
2003-01-20,120.0
2003-01-21,130.0
2003-01-22,150.0
2003-01-23,120.0
2003-01-24,120.0
2003-01-25,121.8055555515625
2003-01-26,130.0
2003-01-27,250.0
2003-01-28,300.0
2003-01-29,150.0
2003-01-30,125.0
2003-01-31,125.0
2003-02-01,125.0
2003-02-02,150.0
2003-02-03,150.0
2003-02-04,125.0
2003-02-05,125.0
2003-02-06,130.0
2003-02-07,150.0
2003-02-08,225.0
2003-02-09,150.0
2003-02-10,125.0
2003-02-11,125.0
2003-02-12,125.0
2003-02-13,125.0
2003-02-14,125.0
2003-02-15,125.0
2003-02-16,125.0
2003-02-17,125.0
2003-02-18,125.0
2003-02-19,125.0
2003-02-20,125.0
2003-02-21,120.0
2003-02-22,125.0
2003-02-23,125.0
2003-02-24,125.0
2003-02-25,125.0
2003-02-26,120.0
2003-02-27,250.0
2003-02-28,120.0
2003-03-01,125.0
2003-03-02,120.0
2003-03-03,150.0
2003-03-04,130.0
2003-03-05,250.0
2003-03-06,120.0
2003-03-07,200.0
2003-03-08,120.0
2003-03-09,79.46428569132652
2003-03-10,73.7499999765625
2003-03-11,91.2499999861111
2003-03-12,125.0
2003-03-13,175.0
2003-03-14,150.0
2003-03-15,150.0
2003-03-16,150.0
2003-03-17,150.0
2003-03-18,150.0
2003-03-19,200.0
2003-03-20,150.0
2003-03-21,250.0
2003-03-22,150.0
2003-03-23,150.0
2003-03-24,120.0
2003-03-25,125.0
2003-03-26,170.0
2003-03-27,150.0
2003-03-28,150.0
2003-03-29,150.0
2003-03-30,150.0
2003-03-31,130.0
2003-04-01,118.10077517476114
2003-04-02,115.08771927386888
2003-04-03,125.0
2003-04-04,150.0
2003-04-05,150.0
2003-04-06,150.0
2003-04-07,150.0
2003-04-08,150.0
2003-04-09,200.0
2003-04-10,130.0
2003-04-11,200.0
2003-04-12,150.0
2003-04-13,150.0
2003-04-14,150.0
2003-04-15,150.0
2003-04-16,130.0
2003-04-17,150.0
2003-04-18,150.0
2003-04-19,150.0
2003-04-20,180.0
2003-04-21,150.0
2003-04-22,200.0
2003-04-23,150.0
2003-04-24,150.0
2003-04-25,150.0
2003-04-26,150.0
2003-04-27,125.0
2003-04-28,150.0
2003-04-29,152.58620472280072
2003-04-30,135.0
2003-05-01,116.66666917438214
2003-05-02,120.0
2003-05-03,150.0
2003-05-04,200.0
2003-05-05,200.0
2003-05-06,150.0
2003-05-07,150.0
2003-05-08,150.0
2003-05-09,130.0
2003-05-10,150.0
2003-05-11,150.0
2003-05-12,175.0
2003-05-13,200.0
2003-05-14,150.0
